region_id;country_id;title_ru;title_ua;title_be;title_en;title_es;title_pt;title_de;title_fr;title_it;title_pl;title_ja;title_lt;title_lv;title_cz
"4289881";"20";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol";"Bundesland Tirol"
"4609717";"21";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës";"Qarku i Lezhës"
"4289074";"20";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg";"Bundesland Vorarlberg"
"4609719";"21";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës";"Qarku i Tiranës"
"4609720";"21";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës";"Qarku i Vlorës"
"3314794";"21";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit";"Qarku i Kukësit"
"4181560";"22";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh";"Wilaya d' El Bayadh"
"3870270";"55";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh";"Bắc Ninh"
"4181240";"22";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued";"Wilaya d' El Oued"
"4181218";"22";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf";"Wilaya d' El Tarf"
"4180818";"22";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi";"Wilaya d' Illizi"
"4179241";"22";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran";"Wilaya d' Oran"
"4178702";"22";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi";"Wilaya d' Oum el Bouaghi"
"3314789";"21";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit";"Qarku i Beratit"
"3314790";"21";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës";"Qarku i Dibrës"
"4609715";"21";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit";"Qarku i Durrësit"
"3314791";"21";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit";"Qarku i Elbasanit"
"4609716";"21";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit";"Qarku i Fierit"
"3314792";"21";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës";"Qarku i Gjirokastrës"
"3314793";"21";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës";"Qarku i Korçës"
"4609718";"21";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës";"Qarku i Shkodrës"
"4183555";"22";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar";"Wilaya d' Adrar"
"4183146";"22";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger";"Wilaya d' Alger"
"4183101";"22";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba";"Wilaya d' Annaba"
"4180409";"22";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara";"Wilaya de Mascara"
"4179510";"22";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa";"Wilaya de Médéa"
"4179337";"22";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem";"Wilaya de Mostaganem"
"4179287";"22";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama";"Wilaya de Naama"
"4178592";"22";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane";"Wilaya de Relizane"
"4178513";"22";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda";"Wilaya de Saïda"
"4178219";"22";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda";"Wilaya de Skikda"
"4178185";"22";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras";"Wilaya de Souk Ahras"
"4177843";"22";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa";"Wilaya de Tébessa"
"4177777";"22";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret";"Wilaya de Tiaret"
"4177706";"22";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf";"Wilaya de Tindouf"
"4177611";"22";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen";"Wilaya de Tlemcen"
"4182959";"22";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna";"Wilaya de Batna"
"4182945";"22";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar";"Wilaya de Béchar"
"4182930";"22";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa";"Wilaya de Bejaïa"
"4182667";"22";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra";"Wilaya de Biskra"
"4182653";"22";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida";"Wilaya de Blida"
"4182445";"22";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira";"Wilaya de Bouira"
"4182405";"22";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes";"Wilaya de Boumerdes"
"4182206";"22";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef";"Wilaya de Chlef"
"4181046";"22";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma";"Wilaya de Guelma"
"4180739";"22";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel";"Wilaya de Jijel"
"4179303";"22";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila";"Wilaya de M'Sila"
"4179382";"22";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila";"Wilaya de Mila"
"4182039";"22";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa";"Wilaya de Djelfa"
"4696295";"27";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip";"Parish of Saint Philip"
"4613698";"25";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela";"Província de Benguela"
"4177986";"22";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset";"Wilaya de Tamanghasset"
"4177686";"22";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza";"Wilaya de Tipaza"
"4177667";"22";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt";"Wilaya de Tissemsilt"
"4177630";"22";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou";"Wilaya de Tizi Ouzou"
"4183455";"22";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla";"Wilaya de Aïn Defla"
"4183280";"22";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent";"Wilaya de Aïn Temouchent"
"4182619";"22";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj";"Wilaya de Bordj Bou Arréridj"
"4182174";"22";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine";"Wilaya de Constantine"
